"gene","nint","nsig","z","npos","nneg","posfrac","enriched","posstrict","pos","negstrict","neg","allstrict","all","SA","SApos","SAneg","type","DAsign","SAsign","driver","canonical","oncogene","tsgene"
"NKX6-1",2,0,-0.312909072914302,0,0,0,0,0,1,0,1,0,2,0,0,0,"BCT","negative","none",0,0,0,0
"NLE1",9,1,0.689444471704393,1,0,1,0,1,7,2,2,3,9,3,1,2,"BCT","positive","both",0,0,0,0
"NLGN1",15,2,1.27895924043862,0,2,0,0,0,0,1,0,1,0,1,0,1,"BCT","negative","negative",0,0,0,0
"NLGN2",16,2,0.501152238731597,0,2,0,0,1,5,0,4,1,9,1,1,0,"BCT","negative","positive",0,0,0,0
"NLGN3",31,2,0.289507429502902,1,1,0.5,0,0,0,0,0,0,0,0,0,0,"BCT","mixed","none",0,0,0,0
"NLGN4X",12,1,0.59919910428307,0,1,0,0,0,3,0,3,0,6,0,0,0,"BCT","negative","none",0,0,0,0
"NLGN4Y",11,1,0.471012854085847,0,1,0,0,0,0,1,1,1,1,1,0,1,"BCT","negative","negative",0,0,0,0
"NLK",37,5,1.57844455690085,0,5,0,0,0,8,1,2,1,10,1,0,1,"BCT","negative","negative",0,0,0,0
"NLN",5,0,-0.500083500334583,0,0,0,0,1,9,0,2,1,11,1,1,0,"BCT","negative","positive",1,0,0,0
"NLRC3",2,0,-0.349799300402099,0,0,0,0,0,1,2,2,2,3,2,0,2,"BCT","negative","negative",0,0,0,0
"NLRC4",7,0,-0.652664840877217,0,0,0,0,0,3,0,1,0,4,0,0,0,"BCT","negative","none",0,0,0,0
"NLRC5",4,0,-0.566796505057764,0,0,0,0,0,2,0,5,0,7,0,0,0,"BCT","negative","none",1,0,0,0
"NLRP1",9,0,-0.682783061772636,0,0,0,0,0,5,1,3,1,8,1,0,1,"BCT","negative","negative",1,0,0,0
"NLRP10",4,0,-0.451330200435303,0,0,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",0,0,0,0
"NLRP12",19,2,0.465387381783779,0,2,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",0,0,0,0
"NLRP14",2,0,-0.349799300402099,0,0,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",0,0,0,0
"NLRP2",8,0,-0.765154894332075,0,0,0,0,0,4,0,3,0,7,0,0,0,"BCT","negative","none",0,0,0,0
"NLRP3",26,3,0.875074187746738,0,3,0,0,0,0,0,3,0,3,0,0,0,"BCT","negative","none",1,0,0,0
"NLRP4",4,0,-0.604307305834314,0,0,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",0,0,0,0
"NLRP5",2,0,-0.251379174478918,0,0,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",1,0,0,0
"NLRP6",6,0,-0.477017586190326,0,0,0,0,0,0,2,2,2,2,2,0,2,"BCT","negative","negative",0,0,0,0
"NLRP7",29,1,-0.613157867819944,1,0,1,0,0,0,0,0,0,0,0,0,0,"BCT","positive","none",0,0,0,0
"NLRP9",3,0,-0.405148216977697,0,0,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",0,0,0,0
"NLRX1",12,0,-0.767976063456767,0,0,0,0,0,5,3,2,3,7,3,0,2,"BCT","negative","negative",0,0,0,0
"NMB",8,0,-0.802377155095242,0,0,0,0,1,8,1,2,2,10,2,1,1,"BCT","negative","both",0,0,0,0
"NMBR",6,2,3.31713612480474,0,2,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",1,0,0,0
"NMD3",22,3,1.3957862519218,2,1,0.666666666666667,0,1,7,1,1,2,8,2,1,1,"BCT","mixed","both",0,0,0,0
"NME1",33,8,4.29978617477467,7,1,0.875,1,3,9,0,3,3,12,3,3,0,"BCT","positive","positive",0,0,0,0
"NME1-NME2",6,0,-0.53964544732099,0,0,0,0,2,7,0,2,2,9,2,2,0,"BCT","negative","positive",0,0,0,0
"NME2",21,6,3.66123732551022,6,0,1,0,2,9,0,2,2,11,2,2,0,"BCT","positive","positive",0,0,0,0
"NME2P1",11,0,-0.80120586351753,0,0,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",0,0,0,0
"NME3",9,2,1.9037874827987,0,2,0,0,0,3,0,2,0,5,0,0,0,"BCT","negative","none",0,0,0,0
"NME4",25,4,2.67313366002459,1,3,0.25,0,3,7,1,1,4,8,4,3,1,"BCT","mixed","both",0,0,0,0
"NME5",3,0,-0.393075909361323,0,0,0,0,0,1,2,5,2,6,2,0,2,"BCT","negative","negative",0,0,0,0
"NME6",3,1,1.92984085206157,1,0,1,0,1,5,0,5,1,10,1,1,0,"BCT","positive","positive",0,0,0,0
"NME7",25,3,0.898457318029411,0,3,0,0,1,7,1,1,2,8,2,1,1,"BCT","negative","both",0,0,0,0
"NMI",26,5,3.46420478411206,5,0,1,0,2,9,0,4,2,13,2,2,0,"BCT","positive","positive",0,0,0,0
"NMNAT1",12,0,-0.911342602565986,0,0,0,0,0,4,3,4,3,8,3,0,2,"BCT","negative","negative",0,0,0,0
"NMNAT2",4,1,1.87616630392937,0,1,0,0,0,3,0,3,0,6,0,0,0,"BCT","negative","none",0,0,0,0
"NMRAL1",31,0,-1.27805749571101,0,0,0,0,0,5,1,1,1,6,1,0,1,"BCT","negative","negative",0,0,0,0
"NMS",8,1,0.943927963353136,0,1,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",0,0,0,0
"NMT1",30,6,3.45603927141505,5,1,0.833333333333333,0,0,8,1,2,1,10,1,0,1,"BCT","positive","negative",0,0,0,0
"NMT2",5,0,-0.583648148536704,0,0,0,0,0,6,1,2,1,8,1,0,1,"BCT","negative","negative",0,0,0,0
"NMU",3,0,-0.506362397594688,0,0,0,0,2,5,0,4,2,9,2,2,0,"BCT","negative","positive",0,0,0,0
"NMUR1",3,0,-0.364671186998459,0,0,0,0,0,0,0,1,0,1,0,0,0,"BCT","negative","none",0,0,0,0
"NMUR2",8,0,-0.8287516324525,0,0,0,0,0,0,0,1,0,1,0,0,0,"BCT","negative","none",1,0,0,0
"NNMT",3,1,2.5739822484595,0,1,0,0,1,9,0,0,1,9,1,1,0,"BCT","negative","positive",0,0,0,0
"NNT",25,2,0.663244217402767,1,1,0.5,0,1,1,1,5,2,6,2,1,1,"BCT","mixed","both",0,0,0,0
"NOB1",18,8,6.06217782649107,8,0,1,1,4,6,1,2,5,8,5,3,1,"BCT","positive","both",0,0,0,0
"NOC2L",51,11,3.68479803722359,11,0,1,0,0,6,1,2,1,8,1,0,1,"BCT","positive","negative",1,0,0,0
"NOC3L",39,2,-0.221371859223622,2,0,1,0,1,6,1,4,2,10,2,1,1,"BCT","positive","both",0,0,0,0
"NOC4L",38,10,5.64818967601424,10,0,1,1,1,4,0,4,1,8,1,1,0,"BCT","positive","positive",0,0,0,0
"NOD1",13,1,0.340168025708305,1,0,1,0,1,6,1,4,2,10,2,1,1,"BCT","positive","both",0,0,0,0
"NOD2",17,2,0.961344008706812,1,1,0.5,0,2,6,0,0,2,6,2,2,0,"BCT","mixed","positive",0,0,0,0
"NODAL",5,0,-0.521706030332839,0,0,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",0,0,0,0
"NOG",17,1,-0.132923706149211,0,1,0,0,1,3,0,1,1,4,1,1,0,"BCT","negative","positive",0,0,0,0
"NOL10",28,7,3.5431060108297,6,1,0.857142857142857,0,3,10,0,2,3,12,3,3,0,"BCT","positive","positive",0,0,0,0
"NOL11",23,5,2.74340266635428,4,1,0.8,0,0,7,2,2,2,9,2,0,2,"BCT","positive","negative",0,0,0,0
"NOL12",24,2,0.659044670816286,2,0,1,0,1,4,0,7,1,11,1,1,0,"BCT","positive","positive",0,0,0,0
"NOL3",8,1,0.712271690335992,0,1,0,0,3,11,0,1,3,12,3,3,0,"BCT","negative","positive",0,0,0,0
"NOL4",10,2,2.19255497018827,1,1,0.5,0,0,0,0,2,0,2,0,0,0,"BCT","mixed","none",0,0,0,0
"NOL6",48,5,0.99498743710662,5,0,1,0,1,7,0,2,1,9,1,1,0,"BCT","positive","positive",0,0,0,0
"NOL7",15,3,2.16781284185834,3,0,1,0,1,4,2,1,3,5,3,1,2,"BCT","positive","both",0,0,0,0
"NOL8",16,0,-1.14970134679106,0,0,0,0,0,7,1,2,1,9,1,0,1,"BCT","negative","negative",0,0,0,0
"NOL9",29,1,-0.46561860395134,1,0,1,0,1,4,0,4,1,8,1,1,0,"BCT","positive","positive",1,0,0,0
"NOLC1",65,5,0.416206078300232,5,0,1,0,1,8,1,2,2,10,2,1,1,"BCT","positive","both",0,0,0,0
"NOM1",27,7,3.52842089960126,7,0,1,0,0,7,0,5,0,12,0,0,0,"BCT","positive","none",0,0,0,0
"NOMO1",34,0,-1.39014719547689,0,0,0,0,0,8,0,3,0,11,0,0,0,"BCT","negative","none",0,0,0,0
"NOMO2",11,0,-0.780532362705589,0,0,0,0,2,7,0,3,2,10,2,2,0,"BCT","negative","positive",0,0,0,0
"NOMO3",12,1,0.187747272594578,0,1,0,0,0,0,0,3,0,3,0,0,0,"BCT","negative","none",0,0,0,0
"NONO",116,30,6.16790605314931,30,0,1,1,1,8,1,3,2,11,2,1,1,"BCT","positive","both",0,0,0,0
"NOP10",30,4,1.62731405966945,4,0,1,0,2,9,0,5,2,14,2,2,0,"BCT","positive","positive",0,0,0,0
"NOP14",37,10,4.97933666459139,10,0,1,1,0,8,1,5,1,13,1,0,1,"BCT","positive","negative",0,0,0,0
"NOP16",32,9,4.63823765142528,9,0,1,1,5,11,0,1,5,12,5,3,0,"BCT","positive","positive",0,0,0,0
"NOP2",77,18,5.25382333414164,18,0,1,1,2,11,0,2,2,13,2,2,0,"BCT","positive","positive",0,0,0,0
"NOP56",106,16,3.37473466201974,16,0,1,0,2,7,0,3,2,10,2,2,0,"BCT","positive","positive",0,0,0,0
"NOP58",71,16,4.88890873011847,15,1,0.9375,1,2,9,0,1,2,10,2,2,0,"BCT","positive","positive",1,0,0,0
"NOS1",16,0,-0.78692866995962,0,0,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",1,0,0,0
"NOS1AP",17,0,-0.889956737063708,0,0,0,0,0,0,0,2,0,2,0,0,0,"BCT","negative","none",0,0,0,0
"NOS2",30,2,0.282842712474619,2,0,1,0,0,1,1,4,1,5,1,0,1,"BCT","positive","negative",0,0,0,0
"NOS3",21,1,-0.29932237333474,0,1,0,0,1,4,1,1,2,5,2,1,1,"BCT","negative","both",0,0,0,0
"NOSIP",24,5,3.22661653283205,5,0,1,0,1,3,1,5,2,8,2,1,1,"BCT","positive","both",0,0,0,0
"NOSTRIN",7,0,-0.637869747260465,0,0,0,0,0,1,1,6,1,7,1,0,1,"BCT","negative","negative",0,0,0,0
"NOTCH1",99,8,0.774577627791383,8,0,1,0,1,5,1,3,2,8,2,1,1,"BCT","positive","both",1,1,0,1
"NOTCH2",77,16,4.14688052461832,0,16,0,1,1,8,1,0,2,8,2,1,1,"BCT","negative","both",1,1,0,1
"NOTCH3",32,0,-1.27702990142264,0,0,0,0,2,10,0,2,2,12,2,2,0,"BCT","negative","positive",1,0,0,0
"NOTCH4",19,2,0.78843383170482,0,2,0,0,0,0,0,1,0,1,0,0,0,"BCT","negative","none",1,0,0,0
