"gene","nint","nsig","z","npos","nneg","posfrac","enriched","posstrict","pos","negstrict","neg","allstrict","all","SA","SApos","SAneg","type","DAsign","SAsign","driver","canonical","oncogene","tsgene"
"FBXO44",11,1,0.615210055446328,0,1,0,0,0,2,3,4,3,6,3,0,2,"WCT","negative","negative",0,0,0,0
"FBXO45",24,1,-0.326278203421262,0,1,0,0,5,9,1,1,6,10,5,3,1,"WCT","negative","both",0,0,0,0
"FBXO46",4,0,-0.546070298665234,0,0,0,0,1,5,1,4,2,9,2,1,1,"WCT","negative","both",0,0,0,0
"FBXO5",19,2,1.31719520216805,1,1,0.5,0,3,9,0,4,3,13,3,3,0,"WCT","mixed","positive",1,0,0,0
"FBXO6",156,13,1.87234230908229,7,6,0.538461538461538,0,0,5,0,6,0,11,0,0,0,"WCT","mixed","none",0,0,0,0
"FBXO7",117,5,-0.238439396890612,4,1,0.8,0,0,1,1,7,1,8,1,0,1,"WCT","positive","negative",0,0,0,0
"FBXO8",6,0,-0.583648148536704,0,0,0,0,0,7,1,3,1,10,1,0,1,"WCT","negative","negative",0,0,0,0
"FBXO9",3,0,-0.512995669535353,0,0,0,0,0,3,1,6,1,9,1,0,1,"WCT","negative","negative",1,0,0,0
"FBXW10",3,0,-0.450301104081868,0,0,0,0,0,0,0,0,0,0,0,0,0,"WCT","negative","none",0,0,0,0
"FBXW11",141,8,0.423454661166378,3,5,0.375,0,0,6,1,1,1,7,1,0,1,"WCT","mixed","negative",0,0,0,0
"FBXW12",3,0,-0.384618037126132,0,0,0,0,0,0,0,0,0,0,0,0,0,"WCT","negative","none",0,0,0,0
"FBXW2",13,2,1.8494742968685,2,0,1,0,0,7,1,1,1,8,1,0,1,"WCT","positive","negative",0,0,0,0
"FBXW4",11,1,0.561324100464884,0,1,0,0,0,2,1,6,1,8,1,0,1,"WCT","negative","negative",0,0,0,0
"FBXW5",37,3,0.840330888841569,2,1,0.666666666666667,0,0,5,1,4,1,9,1,0,1,"WCT","mixed","negative",1,0,0,0
"FBXW7",248,10,-0.820654384068258,4,6,0.4,0,1,3,0,3,1,6,1,1,0,"WCT","mixed","positive",1,1,0,1
"FBXW8",32,3,1.21778719019885,0,3,0,0,1,6,0,4,1,10,1,1,0,"WCT","negative","positive",0,0,0,0
"FBXW9",2,0,-0.280525932530978,0,0,0,0,2,2,0,7,2,9,2,2,0,"WCT","negative","positive",0,0,0,0
"FCAMR",2,0,-0.408757567450569,0,0,0,0,0,0,0,2,0,2,0,0,0,"WCT","negative","none",0,0,0,0
"FCAR",5,0,-0.52982240920666,0,0,0,0,0,0,0,0,0,0,0,0,0,"WCT","negative","none",0,0,0,0
"FCER1A",22,2,0.914865521656941,0,2,0,0,0,2,1,4,1,6,1,0,1,"WCT","negative","negative",1,0,0,0
"FCER1G",31,0,-1.31817185223112,0,0,0,0,1,6,0,3,1,9,1,1,0,"WCT","negative","positive",0,0,0,0
"FCER2",6,0,-0.480945330796498,0,0,0,0,0,0,0,0,0,0,0,0,0,"WCT","negative","none",0,0,0,0
"FCF1",43,6,2.46528361824469,1,5,0.166666666666667,0,3,7,1,1,4,8,4,3,1,"WCT","negative","both",1,0,0,0
"FCGBP",4,1,1.94060195480439,0,1,0,0,3,5,1,6,4,11,4,3,1,"WCT","negative","both",0,0,0,0
"FCGR1A",16,3,2.92076206902065,3,0,1,0,0,8,0,1,0,9,0,0,0,"WCT","positive","none",0,0,0,0
"FCGR2A",34,1,-0.400133728792201,1,0,1,0,1,9,0,2,1,11,1,1,0,"WCT","positive","positive",0,0,0,0
"FCGR2B",16,0,-0.814285714285715,0,0,0,0,0,5,0,5,0,10,0,0,0,"WCT","negative","none",1,1,1,0
"FCGR2C",9,0,-0.631238905828694,0,0,0,0,0,0,0,0,0,0,0,0,0,"WCT","negative","none",0,0,0,0
"FCGR3A",21,2,0.895489258658893,2,0,1,0,0,9,0,2,0,11,0,0,0,"WCT","positive","none",1,0,0,0
"FCGR3B",18,2,1.4319250967696,0,2,0,0,0,2,0,1,0,3,0,0,0,"WCT","negative","none",0,0,0,0
"FCGRT",30,3,1.26813558554774,2,1,0.666666666666667,0,0,4,4,2,4,6,4,0,2,"WCT","mixed","negative",0,0,0,0
"FCHO1",13,1,0.454340766292101,0,1,0,0,1,9,1,2,2,11,2,1,1,"WCT","negative","both",0,0,0,0
"FCHO2",21,2,0.961438838868068,1,1,0.5,0,0,5,3,2,3,7,3,0,2,"WCT","mixed","negative",0,0,0,0
"FCHSD1",4,1,2.3685438564654,1,0,1,0,1,6,0,3,1,9,1,1,0,"WCT","positive","positive",0,0,0,0
"FCHSD2",13,1,0.541602560309065,0,1,0,0,0,5,2,3,2,8,2,0,2,"WCT","negative","negative",0,0,0,0
"FCN1",17,0,-0.857729991948511,0,0,0,0,0,2,0,2,0,4,0,0,0,"WCT","negative","none",0,0,0,0
"FCN2",11,0,-0.813210036792239,0,0,0,0,0,0,0,1,0,1,0,0,0,"WCT","negative","none",0,0,0,0
"FCN3",16,3,2.52275359761625,2,1,0.666666666666667,0,1,8,2,6,3,14,3,1,2,"WCT","mixed","both",0,0,0,0
"FCRL1",2,0,-0.312909072914302,0,0,0,0,0,0,0,0,0,0,0,0,0,"WCT","negative","none",1,0,0,0
"FCRL3",5,0,-0.512995669535353,0,0,0,0,0,0,0,0,0,0,0,0,0,"WCT","negative","none",0,0,0,0
"FCRL4",3,0,-0.312909072914302,0,0,0,0,0,0,0,0,0,0,0,0,0,"WCT","negative","none",1,1,1,0
"FCRL5",4,1,1.64428998172127,1,0,1,0,0,0,2,1,2,1,2,0,2,"WCT","positive","negative",0,0,0,0
